#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231106   19:48:56      0   5000    577    334     13      0      1      0      0 
 20231106   19:48:57      0    810    367    338     13      0      8      0      0 
 20231106   19:48:58      0   7300   1882    557     15      0      1      0      0 
 20231106   19:48:59      0   7300   1882   2279     15     18      1      0      0 
 20231106   19:49:00      0   7300   1980   4670     15    100    100      0      0 
 20231106   19:49:01      0   7300   1995   4670     15    100     94      0      0 
 20231106   19:49:02      0   7300   1995   4670     15    100     80      0      0 
 20231106   19:49:03      0   7300   1995   4665     15     93     70      0      0 
 20231106   19:49:04      0   7300   1995   4665     15    100    100      0      0 
 20231106   19:49:05      0   7300   1995   4670     15    100     90      0      0 
 20231106   19:49:06      0   7300   1995   4670     15    100     76      0      0 
 20231106   19:49:07      0   7300   1995   4670     15     92     51      0      0 
 20231106   19:49:08      0   7300   1995   4665     15     92     59      0      0 
 20231106   19:49:09      0   7300   1995   4670     15     98     77      0      0 
 20231106   19:49:10      0   7300   1995   4670     15    100    100      0      0 
 20231106   19:49:11      0   7300   1995   4670     15    100     90      0      0 
 20231106   19:49:12      0   7300   1995   4665     15    100     78      0      0 
 20231106   19:49:13      0   7300   1995   4665     15     93     51      0      0 
 20231106   19:49:14      0   7300   1995   4670     15     92     59      0      0 
 20231106   19:49:15      0   7300   1995   4670     15     96     76      0      0 
 20231106   19:49:16      0   7300   1995   4670     15    100    100      0      0 
 20231106   19:49:17      0   7300   1995   4665     15    100     90      0      0 
 20231106   19:49:18      0   7300   1995   4670     15    100     78      0      0 
 20231106   19:49:19      0   7300   1995   4670     15     93     54      0      0 
 20231106   19:49:20      0   7300   1995   4670     15     93     59      0      0 
 20231106   19:49:21      0   7300   1995   4665     15     93     71      0      0 
 20231106   19:49:22      0   7300   1995   4665     15    100    100      0      0 
 20231106   19:49:23      0   7300   1995   4670     15    100     95      0      0 
 20231106   19:49:24      0   7300   1995   4670     15    100     80      0      0 
 20231106   19:49:25      0   7300   1995   4670     15     93     65      0      0 
 20231106   19:49:26      0   7300   1995   4665     15     92     51      0      0 
 20231106   19:49:27      0   7300   1995   4665     15    100     88      0      0 
 20231106   19:49:28      0   7300   1995   4670     15    100     77      0      0 
 20231106   19:49:29      0   7300   1995   4670     15     92     48      0      0 
 20231106   19:49:30      0   7300   1995   4670     15     92     60      0      0 
 20231106   19:49:31      0   7300   1995   4665     15    100     80      0      0 
 20231106   19:49:32      0   7300   1995   4670     15    100    100      0      0 
 20231106   19:49:33      0   7300   1995   4670     15    100     90      0      0 
 20231106   19:49:34      0   7300   1995   4670     15    100     76      0      0 
 20231106   19:49:35      0   7300   1995   4665     15     92     51      0      0 
 20231106   19:49:36      0   7300   1995   4665     15     93     60      0      0 
 20231106   19:49:37      0   7300   1995   4670     15     95     74      0      0 
 20231106   19:49:38      0   7300   1995   4670     15    100    100      0      0 
 20231106   19:49:39      0   7300   1995   4670     15    100     92      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231106   19:49:40      0   7300   1995   4665     15    100     79      0      0 
 20231106   19:49:41      0   7300   1995   4670     15     92     55      0      0 
 20231106   19:49:42      0   7300   1995   4670     15     93     55      0      0 
 20231106   19:49:43      0   7300   1995   4670     15     93     68      0      0 
 20231106   19:49:44      0   7300   1995   4665     15    100    100      0      0 
 20231106   19:49:45      0   7300   1995   4665     15    100     96      0      0 
 20231106   19:49:46      0   7300   1995   4670     15    100     81      0      0 
 20231106   19:49:47      0   7300   1995   4670     15    100     86      0      0 
 20231106   19:49:48      0   7300   1995   4670     15    100     99      0      0 
 20231106   19:49:49      0   7300   1995   4665     15    100     88      0      0 
 20231106   19:49:50      0   7300   1995   4663     15    100     75      0      0 
 20231106   19:49:51      0   7300   1995   4670     15     93     49      0      0 
 20231106   19:49:52      0   7300   1995   4670     15     92     61      0      0 
 20231106   19:49:53      0   7300   1995   4665     15    100     81      0      0 
 20231106   19:49:54      0   7300   1995   4665     15    100    100      0      0 
 20231106   19:49:55      0   7300   1995   4670     15    100     88      0      0 
 20231106   19:49:56      0   7300   1987   4668     15    100     77      0      0 
 20231106   19:49:57      0   7300   1995   4668     15     92     49      0      0 
 20231106   19:49:58      0   7300   1995   4663     15     92     59      0      0 
 20231106   19:49:59      0   7300   1995   4663     15    100     79      0      0 
 20231106   19:50:00      0   7300   1995   4662     15    100    100      0      0 
 20231106   19:50:01      0   7300   1995   4662     15    100     89      0      0 
 20231106   19:50:02      0   7300   1995   4662     15    100     78      0      0 
 20231106   19:50:03      0   7300   1995   4658     15     92     53      0      0 
 20231106   19:50:04      0   7300   1995   4666     15     91     57      0      0 
 20231106   19:50:05      0   7300   1995   4666     15     93     71      0      0 
 20231106   19:50:06      0   7300   1995   4666     15     94     71      0      0 
 20231106   19:50:07      0   7300   1995   4662     15     92     51      0      0 
 20231106   19:50:08      0   7300   1995   4662     15     92     65      0      0 
 20231106   19:50:09      0   7300   1995   4666     15    100     90      0      0 
 20231106   19:50:10      0   7300   1995   4666     15    100     98      0      0 
 20231106   19:50:11      0   7300   1995   4666     15    100     84      0      0 
 20231106   19:50:12      0   7300   1995   4662     15     97     72      0      0 
 20231106   19:50:13      0   7300   1995   4668     15     93     50      0      0 
 20231106   19:50:14      0   7300   1995   4668     15     91     63      0      0 
 20231106   19:50:15      0   7300   1995   4664     15    100     87      0      0 
 20231106   19:50:16      0   7300   1995   4664     15    100     99      0      0 
 20231106   19:50:17      0   7300   1995   4662     15    100     87      0      0 
 20231106   19:50:18      0   7300   1995   4666     15    100     76      0      0 
 20231106   19:50:19      0   7300   1995   4666     15     92     48      0      0 
 20231106   19:50:20      0   7300   1995   4666     15     93     62      0      0 
 20231106   19:50:21      0   7300   1995   4662     15    100     86      0      0 
 20231106   19:50:22      0   7300   1995   4658     15    100    100      0      0 
 20231106   19:50:23      0   7300   1995   4666     15    100     88      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231106   19:50:24      0   7300   1995   4666     15    100     76      0      0 
 20231106   19:50:25      0   7300   1995   4662     15     93     48      0      0 
 20231106   19:50:26      0   7300   1995   4662     15    100     94      0      0 
 20231106   19:50:28      0   7300   1995   4666     15    100     79      0      0 
 20231106   19:50:29      0   7300   1995   4667     15     93     62      0      0 
