#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231108   18:50:02      0   7500   1980    535     13      0      1      0      0 
 20231108   18:50:03      0   5000    630    531     13      0      1      0      0 
 20231108   18:50:04      0   7300   1882   1880     16      0      1      0      0 
 20231108   18:50:05      0   7300   1980   2042     16     75     15      0      0 
 20231108   18:50:06      0   7300   1980   2042     16     89     26      0      0 
 20231108   18:50:07      0   7300   1980   2040     16     51     13      0      0 
 20231108   18:50:08      0   7300   1980   2040     16     64     15      0      0 
 20231108   18:50:09      0   7300   1980   2032     16     57     14      0      0 
 20231108   18:50:10      0   7300   1935   2032     16     65     15      0      0 
 20231108   18:50:11      0   7300   1980   2032     16     87     22      0      0 
 20231108   18:50:12      0   7300   1980   2032     16     49     12      0      0 
 20231108   18:50:13      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:14      0   7300   1972   2032     16      0      1      0      0 
 20231108   18:50:15      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:16      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:17      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:18      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:19      0   7300   1980   2032     16     10      3      0      0 
 20231108   18:50:20      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:21      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:22      0   7300   1980   2032     16      3      1      0      0 
 20231108   18:50:23      0   7300   1980   2032     16     66     15      0      0 
 20231108   18:50:24      0   7300   1980   2032     16      0      1      0      0 
 20231108   18:50:25      0   7300   1980   2032     16     60     15      0      0 
 20231108   18:50:26      0   7300   1980   2032     16     70     16      0      0 
 20231108   18:50:27      0   7300   1980   2032     16     87     20      0      0 
 20231108   18:50:28      0   7300   1980   2032     16     81     18      0      0 
 20231108   18:50:29      0   7300   1965   2032     16     80     15      0      0 
 20231108   18:50:30      0   7300   1972   2032     16     77     16      0      0 
 20231108   18:50:31      0   7300   1980   2032     16     87     22      0      0 
 20231108   18:50:32      0   7300   1957   2032     16     87     20      0      0 
 20231108   18:50:33      0   7300   1980   2032     16     75     17      0      0 
 20231108   18:50:34      0   7300   1980   2032     16     75     16      0      0 
 20231108   18:50:35      0   7300   1912   2032     16     37      8      0      0 
 20231108   18:50:36      0   7300   1980   2032     16     65     15      0      0 
 20231108   18:50:37      0   7300   1980   2032     16     37     11      0      0 
 20231108   18:50:38      0   7300   1980   2032     16      3      1      0      0 
 20231108   18:50:39      0   7300   1980   2032     16     39     13      0      0 
 20231108   18:50:40      0   7300   1980   2032     16     63     15      0      0 
 20231108   18:50:41      0   7300   1957   2032     16     41     10      0      0 
 20231108   18:50:42      0   7300   1980   2032     16     84     19      0      0 
 20231108   18:50:43      0   7300   1980   2032     16     85     24      0      0 
 20231108   18:50:44      0   7300   1980   2032     16     86     22      0      0 
 20231108   18:50:45      0   7300   1957   2032     16     86     16      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231108   18:50:46      0   7300   1935   2032     16     29      6      0      0 
 20231108   18:50:47      0   7300   1980   2032     16     38      9      0      0 
 20231108   18:50:48      0   7300   1980   2011     16     38      8      0      0 
 20231108   18:50:49      0   7300   1980   2011     16     70     15      0      0 
 20231108   18:50:50      0   7300   1980   2011     16      8      1      0      0 
 20231108   18:50:51      0   7300   1980   2010     16      0      1      0      0 
 20231108   18:50:52      0   7300   1980   2010     16      0      1      0      0 
 20231108   18:50:53      0   7300   1980   2008     16      0      1      0      0 
 20231108   18:50:54      0   7300   1980   2008     16     88     22      0      0 
 20231108   18:50:55      0   7300   1980   2008     16     91     17      0      0 
 20231108   18:50:56      0   7500   1980    510     13      0      1      0      0 
