#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231112   21:41:10      0   7500   1882    247     13      1      1      0      0 
 20231112   21:41:11      0   7500   1882    247     13      0      0      0      0 
 20231112   21:41:12      0   7300   1882    403     15     16      2      0      0 
 20231112   21:41:13      0   7300   1882    403     15     23      3      0      0 
 20231112   21:41:14      0   7300   1882    404     15     17      3      0      0 
 20231112   21:41:15      0   7300   1882    404     15     17      3      0      0 
 20231112   21:41:16      0   7300   1882    403     15     22      3      0      0 
 20231112   21:41:17      0   7300   1882    403     15     24      3      0      0 
 20231112   21:41:18      0   7300   1882    403     15     26      4      0      0 
 20231112   21:41:19      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:20      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:21      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:22      0   7300   1882    402     15     22      3      0      0 
 20231112   21:41:23      0   7300   1882    402     15     25      3      0      0 
 20231112   21:41:24      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:25      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:26      0   7300   1882    402     15     23      3      0      0 
 20231112   21:41:27      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:28      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:29      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:30      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:31      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:32      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:33      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:34      0   7300   1882    402     15     25      3      0      0 
 20231112   21:41:35      0   7300   1882    402     15     26      4      0      0 
 20231112   21:41:36      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:37      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:38      0   7300   1882    402     15     22      3      0      0 
 20231112   21:41:39      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:40      0   7300   1882    402     15     26      4      0      0 
 20231112   21:41:41      0   7300   1882    402     15     10      2      0      0 
 20231112   21:41:42      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:43      0   7300   1882    402     15     25      4      0      0 
 20231112   21:41:44      0   7300   1882    402     15     23      3      0      0 
 20231112   21:41:45      0   7300   1882    402     15     21      3      0      0 
 20231112   21:41:46      0   7300   1882    402     15     15      2      0      0 
 20231112   21:41:47      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:48      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:49      0   7300   1882    402     15     22      3      0      0 
 20231112   21:41:50      0   7300   1882    402     15     24      3      0      0 
 20231112   21:41:51      0   7300   1882    402     15     26      4      0      0 
 20231112   21:41:52      0   7300   1882    402     15     23      3      0      0 
 20231112   21:41:53      0   7300   1882    402     15     20      3      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231112   21:41:54      0   7300   1882    402     15     17      3      0      0 
 20231112   21:41:55      0   7300   1882    402     15     21      3      0      0 
 20231112   21:41:56      0   7300   1882    404     15     25      4      0      0 
 20231112   21:41:57      0   7300   1882    404     15     23      3      0      0 
 20231112   21:41:58      0   7300   1882    404     15     25      4      0      0 
 20231112   21:41:59      0   7300   1882    403     15     26      4      0      0 
 20231112   21:42:00      0   7300   1882    403     15     20      3      0      0 
 20231112   21:42:02      0   7300   1882    402     15     22      3      0      0 
 20231112   21:42:03      0   7300   1882    402     15     11      2      0      0 
 20231112   21:42:04      0   7300   1882    402     15     18      3      0      0 
 20231112   21:42:05      0   7300   1882    402     15     26      4      0      0 
