#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231106   16:33:48      0    405    210    480     13      0     15      0      0 
 20231106   16:33:49      0    405    210    481     13      3     16      0      0 
 20231106   16:33:50      0   7300   1882   1218     16      0      1      0      0 
 20231106   16:33:51      0   7300   1987   1377     16     75     15      0      0 
 20231106   16:33:52      0   7300   1987   1377     16     56      8      0      0 
 20231106   16:33:53      0   7300   1965   1377     16     43      8      0      0 
 20231106   16:33:54      0   7300   1987   1377     16     55      9      0      0 
 20231106   16:33:55      0   7300   1987   1377     16     44      8      0      0 
 20231106   16:33:56      0   7300   1987   1377     16     37      8      0      0 
 20231106   16:33:57      0   7300   1987   1377     16     37      8      0      0 
 20231106   16:33:58      0   7300   1987   1376     16     37      8      0      0 
 20231106   16:33:59      0   7300   1987   1372     16     37      8      0      0 
 20231106   16:34:00      0   7300   1987   1372     16     37      8      0      0 
 20231106   16:34:01      0   7300   1987   1372     16     12      1      0      0 
 20231106   16:34:02      0   7300   1987   1371     16      0      1      0      0 
 20231106   16:34:03      0   7300   1987   1371     16     51      8      0      0 
 20231106   16:34:04      0   7300   1987   1371     16     17      1      0      0 
 20231106   16:34:05      0   7300   1987   1371     16      0      1      0      0 
 20231106   16:34:06      0   7300   1987   1371     16      5      2      0      0 
 20231106   16:34:07      0   7300   1987   1371     16      8      4      0      0 
 20231106   16:34:08      0   7300   1987   1371     16     22      8      0      0 
 20231106   16:34:09      0   7300   1987   1371     16     12      4      0      0 
 20231106   16:34:10      0   7300   1987   1371     16      1      1      0      0 
 20231106   16:34:11      0   7300   1987   1371     16      0      1      0      0 
 20231106   16:34:12      0   7300   1987   1371     16      0      1      0      0 
 20231106   16:34:13      0   7300   1987   1371     16     17      1      0      0 
 20231106   16:34:14      0   7300   1965   1371     16      0      1      0      0 
 20231106   16:34:15      0   7300   1972   1371     16      0      1      0      0 
 20231106   16:34:16      0   7300   1987   1371     16      0      1      0      0 
 20231106   16:34:17      0   7300   1987   1371     16      0      1      0      0 
 20231106   16:34:18      0   7300   1987   1371     16      9      5      0      0 
 20231106   16:34:19      0   7300   1987   1376     16      4      1      0      0 
 20231106   16:34:20      0   7300   1987   1384     16     20      5      0      0 
 20231106   16:34:21      0   7300   1987   1384     16     11      3      0      0 
 20231106   16:34:22      0   7300   1987   1378     16     11      3      0      0 
 20231106   16:34:23      0   7300   1987   1378     16      8      2      0      0 
 20231106   16:34:24      0   7300   1987   1374     16      4      2      0      0 
 20231106   16:34:25      0   7300   1987   1383     16     13      4      0      0 
 20231106   16:34:26      0   7300   1987   1381     16     38      8      0      0 
 20231106   16:34:27      0   7300   1987   1381     16     37      8      0      0 
 20231106   16:34:28      0   7300   1987   1381     16     29      5      0      0 
 20231106   16:34:29      0   7300   1987   1375     16     37      8      0      0 
 20231106   16:34:30      0   7300   1987   1372     16     55     15      0      0 
 20231106   16:34:31      0   7300   1987   1372     16     64     15      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231106   16:34:32      0   7300   1987   1372     16     73     15      0      0 
 20231106   16:34:33      0   7300   1987   1372     16     14      8      0      0 
 20231106   16:34:34      0   7300   1987   1372     16     32      6      0      0 
 20231106   16:34:35      0   7300   1987   1372     16     37      8      0      0 
 20231106   16:34:36      0   7300   1987   1372     16     29      3      0      0 
 20231106   16:34:37      0   7300   1987   1372     16     44      8      0      0 
 20231106   16:34:38      0   7300   1987   1372     16     51      8      0      0 
 20231106   16:34:39      0   7300   1987   1370     16     37      8      0      0 
 20231106   16:34:40      0   7300   1882   1370     16      0      1      0      0 
 20231106   16:34:41      0   7300   1987   1368     16     40      8      0      0 
 20231106   16:34:42      0   7300   1987   1368     16     44      8      0      0 
