#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231108   18:49:05      0   5000    645    538     13      0      1      0      0 
 20231108   18:49:06      0    810    412    537     13      0      7      0      0 
 20231108   18:49:07      0   7300   1882    705     16      0      1      0      0 
 20231108   18:49:08      0   7300   1995   2454     16     67     43      0      0 
 20231108   18:49:09      0   7300   1980   2455     16     55     35      0      0 
 20231108   18:49:10      0   7300   1980   2455     16     80     40      0      0 
 20231108   18:49:11      0   7300   1980   2453     16     60     20      0      0 
 20231108   18:49:12      0   7300   1980   2446     16     52     31      0      0 
 20231108   18:49:13      0   7300   1980   2446     16     37     21      0      0 
 20231108   18:49:14      0   7300   1980   2446     16     87     42      0      0 
 20231108   18:49:15      0   7300   1980   2444     16     88     43      0      0 
 20231108   18:49:16      0   7300   1980   2444     16     85     40      0      0 
 20231108   18:49:17      0   7300   1980   2444     16     89     43      0      0 
 20231108   18:49:18      0   7300   1980   2444     16     90     44      0      0 
 20231108   18:49:19      0   7300   1980   2444     16     87     43      0      0 
 20231108   18:49:20      0   7300   1980   2444     16     77     38      0      0 
 20231108   18:49:22      0   7300   1980   2444     16     87     43      0      0 
 20231108   18:49:23      0   7300   1980   2444     16     56     27      0      0 
 20231108   18:49:24      0   7300   1980   2444     16      0      1      0      0 
 20231108   18:49:25      0   7300   1980   2444     16     61     41      0      0 
 20231108   18:49:26      0   7300   1980   2444     16     85     43      0      0 
 20231108   18:49:27      0   7300   1980   2444     16     83     37      0      0 
 20231108   18:49:28      0   7300   1995   2444     16     19      9      0      0 
 20231108   18:49:29      0   7300   1995   2444     16     86     43      0      0 
 20231108   18:49:30      0   7300   1995   2444     16     86     42      0      0 
 20231108   18:49:31      0   7300   1995   2444     16     84     40      0      0 
 20231108   18:49:32      0   7300   1995   2444     16     85     40      0      0 
 20231108   18:49:33      0   7300   1995   2444     16     86     42      0      0 
 20231108   18:49:34      0   7300   1995   2444     16     88     43      0      0 
 20231108   18:49:35      0   7300   1995   2444     16     85     41      0      0 
 20231108   18:49:36      0   7300   1995   2444     16     32      7      0      0 
 20231108   18:49:37      0   7300   1995   2444     16     45     19      0      0 
 20231108   18:49:38      0   7300   1995   2444     16      0      1      0      0 
 20231108   18:49:39      0   7300   1995   2444     16     38     21      0      0 
 20231108   18:49:40      0   7300   1995   2444     16     89     43      0      0 
 20231108   18:49:41      0   7300   1995   2444     16     83     40      0      0 
 20231108   18:49:42      0   7300   1995   2444     16     26      2      0      0 
 20231108   18:49:43      0   7300   1995   2444     16      0      1      0      0 
 20231108   18:49:44      0   7300   1980   2444     16     88     43      0      0 
 20231108   18:49:45      0   7300   1995   2444     16     92     46      0      0 
 20231108   18:49:46      0   7300   1980   2444     16     88     43      0      0 
 20231108   18:49:47      0   7300   1980   2444     16     93     43      0      0 
 20231108   18:49:48      0   7300   1980   2444     16     41     15      0      0 
 20231108   18:49:49      0   7300   1980   2444     16      0      1      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231108   18:49:50      0   7300   1980   2444     16     35     20      0      0 
 20231108   18:49:51      0   7300   1980   2444     16     93     47      0      0 
 20231108   18:49:52      0   7300   1980   2446     16     92     45      0      0 
 20231108   18:49:53      0   7300   1980   2446     16     88     43      0      0 
 20231108   18:49:54      0   7300   1980   2446     16     86     41      0      0 
 20231108   18:49:55      0   7300   1980   2446     16     85     39      0      0 
 20231108   18:49:56      0   7300   1980   2446     16     87     42      0      0 
 20231108   18:49:57      0   7300   1980   2444     16     92     45      0      0 
 20231108   18:49:58      0   7300   1980   2444     16     86     41      0      0 
 20231108   18:49:59      0   7300   1980   2444     16     88     43      0      0 
 20231108   18:50:00      0   7300   1980   2444     16     90     43      0      0 
 20231108   18:50:01      0   7300   1980   2460     16     92     44      0      0 
