09-08-2024 03:37:41 RAM 12972/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1651,0%@1651,50%@1651,50%@1651,50%@2188,100%@2188,50%@2188,50%@2188,100%@1651,0%@1651,50%@1651,50%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.593C tboard@32.125C soc2@39.031C tdiode@32.75C soc0@39.187C gpu@38.218C tj@42.593C soc1@38.343C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12974/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1958,100%@2035,100%@2035,100%@2035,100%@2112,100%@2112,100%@2112,100%@2112,100%@1958,100%@2112,100%@2112,100%@2112] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.781C tboard@32.125C soc2@39.187C tdiode@32.75C soc0@39.093C gpu@38.406C tj@42.906C soc1@38.156C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2190mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12977/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C tboard@32.125C soc2@39.156C tdiode@32.75C soc0@39.062C gpu@38.125C tj@42.968C soc1@38.218C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2256mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12978/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.531C tboard@32.125C soc2@39.125C tdiode@32.75C soc0@39.218C gpu@38.375C tj@43.531C soc1@38.187C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2289mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12980/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,0%@2201,0%@2201,100%@2201,100%@2201,100%@2201,0%@2201,50%@2201,50%@2201,100%@2201,0%@2201,50%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.125C tboard@32.125C soc2@39.156C tdiode@32.75C soc0@39.187C gpu@38.25C tj@43.125C soc1@38.187C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2389mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12982/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C tboard@32.125C soc2@39.125C tdiode@32.75C soc0@39.187C gpu@38.468C tj@43.031C soc1@38.281C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2455mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12983/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@2201,100%@2201,0%@2201,0%@2201,0%@1343,0%@1190,0%@1190,0%@1190] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.093C tboard@32.125C soc2@39.281C tdiode@32.75C soc0@39.281C gpu@38.406C tj@43.093C soc1@38.375C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2502mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12990/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@806,0%@806,0%@806,0%@806,0%@2201,100%@2201,0%@2201,33%@2201,0%@806,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.968C tboard@32.125C soc2@39.093C tdiode@32.75C soc0@39.156C gpu@38.281C tj@42.781C soc1@38.281C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2538mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12990/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,50%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.781C tboard@32.125C soc2@39.125C tdiode@32.75C soc0@39.187C gpu@38.312C tj@42.781C soc1@38.218C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2565mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12990/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.718C tboard@32.125C soc2@39.187C tdiode@32.75C soc0@39.187C gpu@38.187C tj@42.812C soc1@38.218C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2588mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:37:41 RAM 12991/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,0%@1574,0%@2201,100%@2201,0%@2201,0%@2201,0%@1574,0%@1574,0%@1574,0%@1574] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.687C tboard@32.125C soc2@39.156C tdiode@32.75C soc0@39.218C gpu@38.156C tj@42.687C soc1@38.343C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2606mW VIN_SYS_5V0 3533mW/3624mW VDDQ_VDD2_1V8AO 706mW/797mW
09-08-2024 03:37:41 RAM 12991/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,33%@2201,100%@2201,0%@2201,0%@2201,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.687C tboard@32.125C soc2@39.125C tdiode@32.75C soc0@39.187C gpu@38.156C tj@42.687C soc1@38.406C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2621mW VIN_SYS_5V0 3533mW/3617mW VDDQ_VDD2_1V8AO 706mW/790mW
09-08-2024 03:37:41 RAM 12991/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@960,0%@960,0%@960,0%@960] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.875C tboard@32.125C soc2@39.125C tdiode@32.75C soc0@39.281C gpu@38.25C tj@42.875C soc1@38.25C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2603mW VIN_SYS_5V0 3533mW/3610mW VDDQ_VDD2_1V8AO 706mW/783mW
09-08-2024 03:37:41 RAM 12991/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.812C tboard@32.125C soc2@39.218C tdiode@32.75C soc0@39.281C gpu@38.125C tj@42.812C soc1@38.156C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2588mW VIN_SYS_5V0 3533mW/3605mW VDDQ_VDD2_1V8AO 706mW/778mW
09-08-2024 03:37:41 RAM 13034/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.812C tboard@32.125C soc2@39.187C tdiode@32.75C soc0@39.125C gpu@38.218C tj@42.812C soc1@38.25C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2574mW VIN_SYS_5V0 3533mW/3600mW VDDQ_VDD2_1V8AO 807mW/780mW
09-08-2024 03:37:41 RAM 13054/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@729,50%@729,50%@729,50%@729,50%@2201,100%@2201,33%@2201,0%@2201,50%@729,50%@729,0%@729,50%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.656C tboard@32.125C soc2@39.125C tdiode@32.75C soc0@39.156C gpu@38.187C tj@42.656C soc1@38.312C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2563mW VIN_SYS_5V0 3533mW/3596mW VDDQ_VDD2_1V8AO 807mW/781mW
09-08-2024 03:37:41 RAM 13057/62841MB (lfb 92x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1804,100%@1804,100%@1804,100%@1804,100%@2201,100%@2201,100%@2201,100%@2201,100%@1804,100%@1804,100%@1804,100%@1804] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C tboard@32.125C soc2@39.25C tdiode@32.75C soc0@39.093C gpu@38.312C tj@43.156C soc1@38.281C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 3185mW/2599mW VIN_SYS_5V0 3533mW/3592mW VDDQ_VDD2_1V8AO 807mW/783mW
