09-08-2024 03:49:42 RAM 13036/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2188,100%@2188,100%@2188,50%@2188,66%@1574,50%@1651,100%@1651,50%@1651,50%@1881,66%@1881,66%@1881,66%@1881] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.25C tboard@29.25C soc2@36.812C tdiode@30C soc0@36.75C gpu@35.75C tj@40.25C soc1@35.968C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13038/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2112,100%@2112,100%@2112,100%@2112] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.375C tboard@29.25C soc2@36.906C tdiode@30C soc0@36.718C gpu@35.812C tj@40.375C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13039/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.812C tboard@29.25C soc2@36.906C tdiode@30C soc0@36.718C gpu@35.781C tj@40.812C soc1@35.906C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13040/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.25C soc2@36.968C tdiode@30C soc0@36.875C gpu@35.687C tj@40.906C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2090mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13043/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@2188,0%@2188,0%@2188,50%@2188,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.875C tboard@29.25C soc2@36.937C tdiode@30C soc0@36.781C gpu@35.687C tj@40.875C soc1@35.812C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2150mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13045/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1574,0%@1574,0%@1574,0%@1574,0%@2201,0%@2201,0%@2201,0%@2197] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.593C tboard@29.25C soc2@36.906C tdiode@30C soc0@36.687C gpu@36C tj@40.593C soc1@35.812C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2190mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13046/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,50%@1958,0%@1958,0%@1958,0%@1958,0%@1881,0%@1881,33%@1881,0%@1881] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.687C tboard@29.25C soc2@36.937C tdiode@30C soc0@36.656C gpu@35.687C tj@40.687C soc1@35.781C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2275mW VIN_SYS_5V0 3634mW/3547mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13051/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1267,0%@1267,0%@1267,0%@1267,0%@1651,0%@1651,0%@1651,0%@1651] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.437C tboard@29.25C soc2@36.812C tdiode@30C soc0@36.687C gpu@35.75C tj@40.437C soc1@35.843C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2339mW VIN_SYS_5V0 3634mW/3558mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13053/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@960,50%@960,0%@960,0%@960,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.25C soc2@36.906C tdiode@30C soc0@36.656C gpu@35.718C tj@40.406C soc1@35.906C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2344mW VIN_SYS_5V0 3634mW/3566mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13053/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@883,0%@883,0%@883,0%@883] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.25C soc2@36.906C tdiode@30C soc0@36.718C gpu@36.093C tj@40.343C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2349mW VIN_SYS_5V0 3533mW/3563mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13053/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,50%@1497,0%@1240,0%@960,0%@960,0%@1574,50%@1574,0%@1574,0%@1574] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.468C tboard@29.25C soc2@36.875C tdiode@30C soc0@36.781C gpu@36.062C tj@40.468C soc1@35.718C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2352mW VIN_SYS_5V0 3533mW/3560mW VDDQ_VDD2_1V8AO 807mW/807mW
