09-08-2024 03:49:32 RAM 13044/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@1881,100%@1881,100%@1881,100%@1881,100%@1958,100%@1958,100%@1958,100%@1958] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.468C gpu@35.687C tj@40.406C soc1@35.656C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13045/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.562C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.531C gpu@35.531C tj@40.75C soc1@35.781C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13046/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,50%@2201,100%@2201,100%@2201,100%@2201,66%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.562C gpu@35.437C tj@40.906C soc1@35.687C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 2389mW/2123mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13048/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1804,0%@1804,0%@1804,0%@1804,100%@2035,0%@2035,0%@2035,33%@2035,0%@1804,0%@1804,0%@1804,0%@1771] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.687C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.437C gpu@35.562C tj@40.687C soc1@35.625C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 2389mW/2190mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13050/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@2201,0%@2201,0%@2201,0%@2201,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.593C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.468C gpu@35.5C tj@40.593C soc1@35.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2229mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13052/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1036,0%@1036,0%@960,0%@960,100%@2201,33%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.562C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.593C gpu@35.625C tj@40.562C soc1@35.687C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2256mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13055/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.75C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.562C gpu@35.5C tj@40.75C soc1@35.625C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2275mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13060/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@960,50%@960,0%@960,0%@960] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.718C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.843C tj@40.718C soc1@35.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2289mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13060/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.125C soc2@36.656C tdiode@29.75C soc0@36.468C gpu@35.781C tj@40.406C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2300mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13060/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.125C soc2@36.562C tdiode@29.75C soc0@36.437C gpu@35.687C tj@40.343C soc1@35.687C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2309mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13060/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,50%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.25C tboard@29.125C soc2@36.625C tdiode@29.75C soc0@36.562C gpu@35.531C tj@40.25C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2316mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
