09-08-2024 03:38:24 RAM 13031/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2112,100%@2112,100%@2112,100%@2112,100%@1728,100%@1728,100%@1728,100%@1728,100%@1958,100%@1958,100%@1958,100%@1958] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.906C tboard@32.25C soc2@39.406C tdiode@33C soc0@39.531C gpu@38.593C tj@42.906C soc1@38.406C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:24 RAM 13033/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2035,100%@2035,100%@2035,100%@2035,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C tboard@32.25C soc2@39.406C tdiode@33C soc0@39.281C gpu@38.375C tj@43.031C soc1@38.375C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2190mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:24 RAM 13034/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.187C tboard@32.25C soc2@39.375C tdiode@33C soc0@39.312C gpu@38.312C tj@43.187C soc1@38.312C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2256mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13036/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,50%@2188,0%@2188,0%@2188,50%@2188,0%@2201,50%@2201,0%@2201,33%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.281C tboard@32.25C soc2@39.5C tdiode@33C soc0@39.375C gpu@38.343C tj@43.281C soc1@38.562C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 2787mW/2389mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13038/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1497,0%@1497,0%@1497,0%@1497,0%@1804,0%@1804,33%@1804,0%@1804] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.031C tboard@32.25C soc2@39.406C tdiode@33C soc0@39.406C gpu@38.406C tj@43.031C soc1@38.343C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2468mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13040/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@883,0%@883,0%@883,0%@883,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C tboard@32.25C soc2@39.468C tdiode@33C soc0@39.406C gpu@38.531C tj@43.156C soc1@38.375C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2521mW VIN_SYS_5V0 3640mW/3635mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13044/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@960,0%@960,0%@960,0%@960] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.187C tboard@32.25C soc2@39.437C tdiode@33C soc0@39.312C gpu@38.437C tj@43.187C soc1@38.406C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2559mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13047/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.875C tboard@32.25C soc2@39.531C tdiode@33C soc0@39.281C gpu@38.437C tj@42.875C soc1@38.375C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2588mW VIN_SYS_5V0 3640mW/3635mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13047/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.812C tboard@32.25C soc2@39.437C tdiode@33C soc0@39.343C gpu@38.437C tj@42.812C soc1@38.406C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2610mW VIN_SYS_5V0 3634mW/3635mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13048/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1497,33%@1497,0%@1497,0%@1497,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.875C tboard@32.25C soc2@39.406C tdiode@33C soc0@39.343C gpu@38.281C tj@42.875C soc1@38.406C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2627mW VIN_SYS_5V0 3634mW/3635mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13048/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,50%@2201,0%@2201,0%@729,0%@729,33%@729,0%@729,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.75C tboard@32.25C soc2@39.343C tdiode@33C soc0@39.375C gpu@38.343C tj@42.75C soc1@38.406C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2642mW VIN_SYS_5V0 3634mW/3635mW VDDQ_VDD2_1V8AO 807mW/807mW
