09-08-2024 03:49:52 RAM 13037/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1881,100%@1881,100%@1881,100%@1881,100%@1958,100%@1958,100%@1958,100%@1958,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.718C tboard@29.375C soc2@37C tdiode@30.25C soc0@36.937C gpu@36.312C tj@40.718C soc1@35.843C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13039/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2188,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.781C tboard@29.375C soc2@36.968C tdiode@30.25C soc0@36.781C gpu@35.875C tj@40.781C soc1@36C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13040/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.062C tboard@29.375C soc2@36.968C tdiode@30.25C soc0@36.843C gpu@36.093C tj@40.906C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13042/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1881,0%@1881,0%@1881,0%@1881,50%@2201,0%@2201,0%@2201,0%@2188] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.718C tboard@29.375C soc2@36.968C tdiode@30.25C soc0@36.875C gpu@35.937C tj@40.718C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2090mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13044/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1497,50%@1497,0%@1497,0%@1497,0%@2034,0%@1574,0%@1574,0%@1574] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.687C tboard@29.375C soc2@36.968C tdiode@30.25C soc0@36.843C gpu@35.812C tj@40.812C soc1@36.031C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2150mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13045/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1804,0%@1804,0%@1804,0%@1804,0%@1881,33%@1344,50%@1344,0%@1344] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.75C tboard@29.375C soc2@37.031C tdiode@30.25C soc0@37C gpu@35.937C tj@40.75C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2190mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13052/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806,0%@1036,0%@960,0%@960,0%@883] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.468C tboard@29.375C soc2@37.062C tdiode@30.25C soc0@36.812C gpu@36C tj@40.468C soc1@35.968C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2218mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13052/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.375C tboard@29.375C soc2@37.062C tdiode@30.25C soc0@36.875C gpu@35.968C tj@40.375C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2239mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13052/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.406C tboard@29.375C soc2@36.968C tdiode@30.25C soc0@36.875C gpu@35.968C tj@40.406C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2256mW VIN_SYS_5V0 3533mW/3622mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13052/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.375C soc2@37C tdiode@30.25C soc0@36.906C gpu@35.968C tj@40.343C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2269mW VIN_SYS_5V0 3533mW/3613mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:52 RAM 13052/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.375C soc2@37C tdiode@30.25C soc0@36.812C gpu@35.906C tj@40.343C soc1@36.062C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2280mW VIN_SYS_5V0 3533mW/3606mW VDDQ_VDD2_1V8AO 807mW/807mW
