09-08-2024 03:35:13 RAM 12850/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1881,100%@1881,100%@1881,100%@1881,100%@2035,100%@2035,100%@2035,100%@2035,100%@1651,100%@1651,100%@1651,100%@1651] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.312C tboard@31.25C soc2@38C tdiode@31.5C soc0@38C tj@41.312C soc1@37.156C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 398mW/398mW VIN_SYS_5V0 2624mW/2624mW VDDQ_VDD2_1V8AO 403mW/403mW
09-08-2024 03:35:14 RAM 12852/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2112,100%@2112,100%@2112,100%@2112,100%@2188,100%@2188,100%@2188,100%@2188,100%@1958,100%@1958,100%@1958,100%@1958] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.625C tboard@31.25C soc2@38.062C tdiode@31.5C soc0@38.093C tj@41.625C soc1@37.218C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 398mW/398mW VIN_SYS_5V0 2725mW/2674mW VDDQ_VDD2_1V8AO 403mW/403mW
09-08-2024 03:35:14 RAM 12853/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2112,100%@2112,100%@2112,100%@2112] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.687C tboard@31.25C soc2@38.125C tdiode@31.5C soc0@38.218C tj@41.687C soc1@37.156C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 796mW/530mW VIN_SYS_5V0 2725mW/2691mW VDDQ_VDD2_1V8AO 403mW/403mW
09-08-2024 03:35:14 RAM 12854/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.843C tboard@31.25C soc2@38.312C tdiode@31.5C soc0@38.156C tj@41.843C soc1@37.156C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 796mW/597mW VIN_SYS_5V0 2725mW/2699mW VDDQ_VDD2_1V8AO 403mW/403mW
09-08-2024 03:35:14 RAM 12855/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,50%@2201,50%@2201,50%@2201,50%@2201,50%@2201,50%@2201,100%@2201,100%@2201,0%@2201,50%@2201,100%@2201] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.812C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.218C tj@41.812C soc1@37.156C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/716mW VIN_SYS_5V0 2725mW/2704mW VDDQ_VDD2_1V8AO 403mW/403mW
09-08-2024 03:35:14 RAM 12858/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1881,0%@1881,0%@1881,0%@1881,0%@2201,0%@2201,0%@2201,100%@2201,0%@1651,0%@1651,0%@1651,0%@1651] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.875C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.218C tj@41.875C soc1@37.125C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/796mW VIN_SYS_5V0 2826mW/2725mW VDDQ_VDD2_1V8AO 504mW/419mW
09-08-2024 03:35:14 RAM 12859/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,0%@1574,0%@2201,0%@2201,0%@2201,100%@2201,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.875C tboard@31.25C soc2@38.125C tdiode@31.5C soc0@38C tj@41.875C soc1@37.125C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/852mW VIN_SYS_5V0 2826mW/2739mW VDDQ_VDD2_1V8AO 504mW/431mW
09-08-2024 03:35:14 RAM 12862/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@1036,0%@1036,0%@1036,0%@1036,0%@2201,0%@2201,0%@2201,100%@2201,0%@960,0%@960,0%@960,0%@960] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.687C tboard@31.25C soc2@38.218C tdiode@31.5C soc0@38.062C tj@41.687C soc1@37.218C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/895mW VIN_SYS_5V0 2826mW/2750mW VDDQ_VDD2_1V8AO 504mW/440mW
09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@806,0%@806,0%@806,0%@806,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.531C tboard@31.25C soc2@38.031C tdiode@31.5C soc0@38.093C tj@41.531C soc1@37.187C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/928mW VIN_SYS_5V0 2826mW/2758mW VDDQ_VDD2_1V8AO 504mW/447mW
09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,50%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.5C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.093C tj@41.312C soc1@37.25C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/955mW VIN_SYS_5V0 2826mW/2765mW VDDQ_VDD2_1V8AO 504mW/453mW
09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.406C tboard@31.25C soc2@38.093C tdiode@31.5C soc0@38.187C tj@41.406C soc1@37.218C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/976mW VIN_SYS_5V0 2826mW/2770mW VDDQ_VDD2_1V8AO 504mW/458mW
