09-08-2024 03:49:28 RAM 13043/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,0%@1958,100%@1958,0%@1958,0%@1958,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@39.812C tboard@29.125C soc2@36.625C tdiode@29.75C soc0@36.468C gpu@35.718C tj@39.812C soc1@35.656C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13043/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1958,100%@1958,100%@1958,100%@1958,100%@1958,100%@1958,100%@1958,100%@1958,100%@1651,100%@1651,100%@1651,100%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.062C tboard@29.125C soc2@36.656C tdiode@29.75C soc0@36.437C gpu@35.468C tj@40.062C soc1@35.5C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 1991mW/1991mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13045/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2188,100%@2188,100%@2188,100%@2188,100%@2201,100%@2201,100%@2201,100%@2201,100%@1957,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.375C gpu@35.562C tj@40.343C soc1@35.562C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2123mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13046/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.468C tboard@29.125C soc2@36.625C tdiode@29.75C soc0@36.375C gpu@35.531C tj@40.468C soc1@35.593C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2190mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13047/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,50%@2201,100%@2201,50%@2201,100%@2201,100%@2201,100%@2201,50%@2201,100%@2201,50%@2201,100%@2201,50%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.625C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.5C gpu@35.531C tj@40.625C soc1@35.656C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2229mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13050/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2112,0%@2188,0%@2188,0%@2188,0%@2201,100%@2201,0%@2201,0%@2201,0%@1651,0%@1651,0%@1651,0%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.5C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.468C gpu@35.656C tj@40.5C soc1@35.687C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2256mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13051/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1651,33%@1651,0%@1651,0%@1651,0%@2201,100%@2201,0%@2201,0%@2201,0%@1343,0%@1113,0%@1113,0%@1113] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.531C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.531C gpu@35.562C tj@40.531C soc1@35.5C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2275mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13057/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1267,0%@1267,0%@1267,0%@1267,0%@2201,100%@2201,0%@2201,0%@2201,0%@960,0%@806,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.218C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.437C gpu@35.593C tj@40.218C soc1@35.593C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2289mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13058/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@960,0%@960,0%@960,50%@960,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.062C tboard@29.125C soc2@36.593C tdiode@29.75C soc0@36.468C gpu@35.781C tj@40.062C soc1@35.625C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2300mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13058/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.125C tboard@29.125C soc2@36.625C tdiode@29.75C soc0@36.5C gpu@35.718C tj@40.125C soc1@35.718C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2309mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13059/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,33%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.312C tboard@29.125C soc2@36.656C tdiode@29.75C soc0@36.468C gpu@35.531C tj@40.312C soc1@35.531C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2316mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
